Model,Train_Accuracy,Test_Accuracy,F1_Score,Training_Time,Features_Used
Random Forest,0.9887200997619318,0.4481976875991839,0.3350441055944423,6.2342939376831055,3000
SVM (RBF),0.9790273211654007,0.42144638403990026,0.30827129002266107,1433.1709456443787,3000
XGBoost,0.7456637569436572,0.4139650872817955,0.32056449085238137,43.47935676574707,3000
Gradient Boosting,0.5821335449495522,0.37021083654500114,0.281695730609068,115.33261370658875,3000
Linear SVM,0.7114272758190682,0.3640897755610973,0.27434146685927,3.3540616035461426,3000
Multinomial Naive Bayes,0.33102822809205307,0.25323055996372706,0.13582833733690572,0.05164289474487305,3000
