,precision,recall,f1-score,support
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,1.0
3,0.6363636363636364,0.6363636363636364,0.6363636363636364,22.0
4,0.5555555555555556,0.4166666666666667,0.47619047619047616,12.0
5,0.48,0.7058823529411765,0.5714285714285714,34.0
6,0.5789473684210527,0.6111111111111112,0.5945945945945946,36.0
7,0.6588235294117647,0.7272727272727273,0.691358024691358,77.0
8,0.6241610738255033,0.7815126050420168,0.6940298507462687,119.0
9,0.722972972972973,0.7278911564625851,0.7254237288135593,147.0
10,0.6359447004608295,0.7582417582417582,0.6917293233082706,182.0
11,0.6145251396648045,0.6832298136645962,0.6470588235294118,161.0
12,0.670995670995671,0.7110091743119266,0.6904231625835189,218.0
13,0.5471698113207547,0.6338797814207651,0.5873417721518988,183.0
14,0.6810344827586207,0.7596153846153846,0.7181818181818181,312.0
15,0.416289592760181,0.5508982035928144,0.4742268041237113,167.0
16,0.43646408839779005,0.5031847133757962,0.46745562130177515,157.0
17,0.4574468085106383,0.5180722891566265,0.4858757062146893,166.0
18,0.41530054644808745,0.49032258064516127,0.44970414201183434,155.0
19,0.4444444444444444,0.34782608695652173,0.3902439024390244,138.0
20,0.3693181818181818,0.4513888888888889,0.40625,144.0
21,0.3,0.30434782608695654,0.302158273381295,138.0
22,0.4161073825503356,0.44285714285714284,0.4290657439446367,140.0
23,0.4625,0.44047619047619047,0.45121951219512196,168.0
24,0.3389830508474576,0.3252032520325203,0.33195020746887965,123.0
25,0.34,0.3805970149253731,0.3591549295774648,134.0
26,0.3883495145631068,0.3448275862068966,0.365296803652968,116.0
27,0.3333333333333333,0.25961538461538464,0.2918918918918919,104.0
28,0.2619047619047619,0.205607476635514,0.23036649214659685,107.0
29,0.17582417582417584,0.17204301075268819,0.17391304347826086,93.0
30,0.15151515151515152,0.12345679012345678,0.1360544217687075,81.0
31,0.2,0.17647058823529413,0.1875,85.0
32,0.10526315789473684,0.05714285714285714,0.07407407407407407,70.0
33,0.17857142857142858,0.14492753623188406,0.16,69.0
34,0.1694915254237288,0.13513513513513514,0.15037593984962405,74.0
35,0.125,0.09090909090909091,0.10526315789473684,66.0
36,0.2,0.12903225806451613,0.1568627450980392,62.0
37,0.06666666666666667,0.03773584905660377,0.04819277108433735,53.0
38,0.0,0.0,0.0,50.0
39,0.09523809523809523,0.07017543859649122,0.08080808080808081,57.0
40,0.2222222222222222,0.125,0.16,48.0
41,0.037037037037037035,0.02127659574468085,0.02702702702702703,47.0
42,0.15,0.06382978723404255,0.08955223880597014,47.0
43,0.058823529411764705,0.023255813953488372,0.03333333333333333,43.0
44,0.0,0.0,0.0,5.0
accuracy,0.4481976875991839,0.4481976875991839,0.4481976875991839,0.4481976875991839
macro avg,0.3346042872076021,0.3429157171760538,0.3350441055944423,4411.0
weighted avg,0.42107349192877025,0.4481976875991839,0.43148230727633186,4411.0
